Phylum	Samples	Percentage %
 Proteobacteria	HL	0.351351
 Proteobacteria	HR	0.57778
 Proteobacteria	ML	0.549019
 Proteobacteria	MR	0.617647
 Proteobacteria	LL	0.575
 Proteobacteria	LR	0.388889
 Proteobacteria	RL	0.608696
 Proteobacteria	RR	0.499999
 Firmicutes	HL	0.40546
 Firmicutes	HR	0.17778
 Firmicutes	ML	0.098039
 Firmicutes	MR	0.176471
 Firmicutes	LL	0.15
 Firmicutes	LR	0.16667
 Firmicutes	RL	0.086955
 Firmicutes	RR	0.314814
 Actinobacteria	HL	0.162162
 Actinobacteria	HR	0.11111
 Actinobacteria	ML	0.176471
 Actinobacteria	MR	0.176471
 Actinobacteria	LL	0.075
 Actinobacteria	LR	0.277789
 Actinobacteria	RL	0.195653
 Actinobacteria	RR	0.092594
 Bacteroidetes	HL	0.027027
 Bacteroidetes	HR	0.11111
 Bacteroidetes	ML	0.117647
 Bacteroidetes	MR	0
 Bacteroidetes	LL	0.15
 Bacteroidetes	LR	0.111111
 Bacteroidetes	RL	0.086957
 Bacteroidetes	RR	0.074074
Others	HL	0.054054
Others	HR	0.022222
Others	ML	0.058824
Others	MR	0.029412
Others	LL	0.05412
Others	LR	0.05556
Others	RL	0.021739
Others	RR	0.018518
