x	HL	HR	ML	MR	LL	LR	RL	RR
Bacillus	3.640681	4	2.157895	3	4.11667	4.8	0.95	3.636207
Achromobacter	-0.5201	-1	3.210526	4	2.85	-1.00278	-0.31667	-0.95
Burkholderia	-0.5201	2	3.210526	0	-0.95	1.10833	-0.31667	-0.95
Rhizobium	-0.104002	-1	-1	2	-0.95	-1.00278	-0.31667	1.67069
Cupriavidus	-0.5201	0	-1	-1	-0.95	-0.100278	1.58333	1.67069
Parvibaculum	-0.5201	2	-1	0	-0.95	-1.00278	0.95	-0.95
Enterobacter	-0.5201	-1	0.052632	-1	-0.95	1.10833	0.95	-0.29483
Actinomadura 	-0.5201	-1	1.105263	1	-0.95	2.163889	-0.95	-0.95
Gemella	0.728136	1	-1	-1	-0.95	-1.00278	-0.95	-0.29483
Sinorhizobium	-0.10402	-1	0.052632	-1	2.85	0.052778	-0.95	-0.95
Streptosporangium	0.312058	-1	1.105263	0	0.316677	-1.00278	-0.95	-0.95
Azospirillum	1.144214	-1	-1	-1	0.31667	-1.00278	-0.31667	-0.95
Microbispora	-0.10402	0	1.105263	0	0.31667	-1.00278	-0.95	-0.95
Micromonospora	-0.5201	1	-1	-1	-0.95	-1.00278	-0.31667	1.015517
Salmonella	-0.5201	-1	-1	-1	-0.95	-1.00278	0.316667	1.67069
Filimonas	-0.5201	1	-1	-1	0.316667	2.1638889	-0.95	-0.95
Aeromicrobium	-0.5201	-1	-1	0	-0.95	-1.00278	2.21667	-0.95
Actinomyces	-0.5201	-1	-1	-1	0.316667	-1.00278	-0.95	2.35862
Streptococcus	-0.5201	-1	-1	-1	0.316667	-1.00278	-0.95	2.325862
Micrococcus	0.728136	0	-1	-1	-0.95	0.052778	-0.95	-0.95
