X	HL	HR	ML	MR	LL	LR	RL	RR
Bacillus	0.857604	1.039789	5.558855	3.960262	1.736241	5.881861	2.685034	1.200198
Rhizobium	0.857604	0.239949	2.12822	7.960262	0.481127	6.881861	0.650917	1.636634
Paenibacillus	-0.57174	1.439697	0.12822	-0.03974	0.899489	7.881861	1.057741	0.763763
Burkholderia	0.857604	1.439697	-0.87178	5.960262	1.736241	1.881861	-0.97638	0.763763
Klebsiella	-0.57174	1.839613	2.12822	0.960262	0.481127	3.881861	-0.56955	0.327327
Achromobacter	-1.28641	-0.9598	0.12822	5.960262	-0.77399	4.881861	0.244094	2.073707
Acinetobacter	0.142934	0.2399949	3.12822	3.96262	-1.19236	-0.11814	1.057741	-0.10911
Flavobacterium	-0.57174	-0.15997	1.12822	1.960262	1.31787	-0.11814	-0.16273	0.327327
Borrelia	0.857604	1.039781	0.12822	-1.03974	-0.35562	3.881861	-0.1673	-0.54554
Leclercia	1.572273	-1.35971	1.12822	-1.03974	0.899498	2.881861	-0.56955	-0.54554
Pusillimonas	0.142934	-0.15997	-0.87178	-0.03974	-0.77399	5.881861	-0.97638	-0.10911
Microbacterium	-1.28641	-1.35971	4.12822	-1.03974	0.062757	1.881861	-0.97638	0.327327
Streptosporangium	-1.28641	-0.55988	0.12822	2.960262	-0.77399	-0.18814	-0.56955	0.763763
Sphingobium	0.857604	-0.15997	0.12822	4.960262	-1.19236	-1.11814	-0.97638	-0.54554
Mycobacterium	-0.57174	-0.9598	-0.87178	0.960262	0.062756	-0.11814	1.057741	-0.54554
Duganella	0.857604	0.239949	0.12822	-0.03974	0.899498	-1.11814	-0.97638	-1.41842
Planococus	1.572273	-0.15997	-0.87178	-0.03974	-0.77399	-1.11814	0.244094	-0.98198
Mesorhizobium	0.142934	-1.35971	-0.87178	-1.03974	-0.35562	0.881861	1.057741	-0.5454
Enterobacter	-1.28641	0.639865	0.12822	-1.03974	-1.1936	1.881861	-0.16273	-1.41842
Lactococcus	-1.28641	-0.9598	4.12822	3.960262	-1.19263	-1.11814	-0.97638	-1.41842
