Taxnomy ID	X	Aromatic compound degradation	Aerobic chemoheterotrophy	Chemoheterotrophy	Denitrification	Fermentation	Hydrocarbon degradation	Iron respiration	Nitrate denitrification	Nitrite denitrification	Nitrous oxide denitrification	Nitrite respiration	Nitrate respiration	Nitrate reduction	Nitrogen respiration	Ureolysis
 p__Firmicutes	OTU_6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
 p__Bacteroidetes	OTU_14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_15	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_18	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Gammaproteobacteria	OTU_21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
 p__Actinobacteria	OTU_26	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 p__Acidobacteria	OTU_27	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_28	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_29	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Gammaproteobacteria	OTU_33	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_36	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
 p__Firmicutes	OTU_39	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_40	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_41	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Firmicutes	OTU_44	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
 c__Deltaproteobacteria	OTU_45	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_46	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0
 c__Alphaproteobacteria	OTU_47	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_50	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_56	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_59	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0
 p__Actinobacteria	OTU_60	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
 c__Alphaproteobacteria	OTU_61	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0
 c__Gammaproteobacteria	OTU_62	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_64	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
 c__Alphaproteobacteria	OTU_68	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_71	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_72	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Gammaproteobacteria	OTU_73	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_74	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Firmicutes	OTU_77	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_80	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_82	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 p__Actinobacteria	OTU_84	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_91	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Gammaproteobacteria	OTU_92	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Gammaproteobacteria	OTU_93	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_94	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
