Taxonomy ID	X	Aromatic compound degradation	Aerobic chemoheterotrophy	Chemoheterotrophy	Denitrification	Fermentation	Hydrocarbon degradation	Iron respiration	Nitrate denitrification	Nitrite denitrification	Nitrous oxide denitrification	Nitrite respiration	Nitrate respiration	Nitrate reduction	Nitrogen respiration	Ureolysis
p__Actinobacteria;	OTU_5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_9	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Bacteroidetes;	OTU_12	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	OTU_14	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0
c__Betaproteobacteria;	OTU_15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Spirochaetes	OTU_19	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria	OTU_21	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0
c__Alphaproteobacteria;	OTU_39	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	OTU_40	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0
p__Planctomycetes;	OTU_50	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	OTU_54	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria	OTU_57	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	OTU_58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
p__Bacteroidetes;	OTU_62	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_65	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_71	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Firmicutes;	OTU_73	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Firmicutes;	OTU_80	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Gammaproteobacteria	OTU_83	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
c__Alphaproteobacteria;	OTU_94	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Gammaproteobacteria;	OTU_95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;	OTU_99	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_100	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;	OTU_103	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_115	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	OTU_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
c__Gammaproteobacteria;	OTU_121	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;	OTU_122	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
c__Alphaproteobacteria;	OTU_129	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Betaproteobacteria	OTU_147	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;	OTU_152	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
c__Alphaproteobacteria;	OTU_153	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	OTU_155	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	OTU_166	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
c__Gammaproteobacteria;	OTU_167	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
c__Betaproteobacteria;	OTU_169	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
