Kingdom	Phylum	Class	Order	Family	Genus
k__Bacteria;	p__Proteobacteria;	c__Betaproteobacteria;	o__Burkholderiales;	f__Comamonadaceae;	g__Limnobacter;
k__Bacteria;	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Marichromatium;
k__Bacteria;	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae;	g__Inhella;
k__Bacteria;	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium;
k__Bacteria;	p__Actinobacteria;	c__Actinobacteria;	o__Actinomycetales;	f__Cellulomonadaceae;	g__Demequina;
k__Bacteria;	p__Actinobacteria;	c__Actinobacteria;	o__Actinomycetales;	f__Microbacteriaceae;	g__Microbacterium;
k__Bacteria;	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Thalassospira
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhizobiales;	f__Phyllobacteriaceae	g__Mesorhizobium;
k__Bacteria;	p__Proteobacteria;	c__Betaproteobacteria;	o__Burkholderiales;	f__Comamonadaceae	g__Comamonas ;
k__Bacteria;	p__Actinobacteria;	c__Actinobacteria;	o__Actinomycetales;	f__Pseudonocardiaceae;	g__Pseudonocardia;
k__Bacteria;	p__Proteobacteria;	c__Gammaproteobacteria;	o__Pseudomonadales;	f__Pseudomonadaceae	g__Azomonas ;
k__Bacteria;	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium;
k__Bacteria;	p__Bacteroidetes;	c__Sphingobacteriia;	o__Sphingobacteriales;	f__Sphingobacteriaceae;	g__Pedobacter;
k__Bacteria;	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhodobacterales;	f__Rhodobacteraceae;	g__Paracoccus;
k__Bacteria;	p__Proteobacteria;	c__Betaproteobacteria;	o__Burkholderiales;	f__Alcaligenaceae;	g__Unassinged
k__Bacteria;	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus;
k__Bacteria;	p__Actinobacteria;	c__Actinobacteria;	o__Actinomycetales;	f__Micrococcaceae;	g__Arthrobacter;
k__Bacteria;	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis;
k__Bacteria;	p__Spirochaetes	c__Spirochaetes	o__Spirochaetales	f__Borreliaceae	g__Unassinged
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Sphingomonadales;	f__Sphingomonadaceae;	g__Kaistobacter;
k__Bacteria;	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Duganella;
k__Bacteria;	p__Proteobacteria;	c__Gammaproteobacteria;	o__Xanthomonadales;	f__Xanthomonadaceae;	g__Stenotrophomonas;
k__Bacteria;	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter;
k__Bacteria;	p__Firmicutes	c__Firmicutes	o__Clostridia	f__Thermoanaerobacterales Family III	g__Unassinged
k__Bacteria;	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus;
k__Bacteria;	p__Proteobacteria;	c__Gammaproteobacteria;	o__Aeromonadales;	f__Aeromonadaceae	g__Unassinged
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhizobiales;	f__Brucellaceae;	g__Ochrobactrum;
k__Bacteria;	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Unassinged
k__Bacteria;	p__Firmicutes;	c__Bacilli;	o__Bacillales;	f__Bacillaceae;	g__Bacillus;
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhizobiales;	f__Rhizobiaceae;	g__Unassinged
k__Bacteria;	p__Actinobacteria		o__Micrococcales	f__Micrococcaceae	g__Kocuria;
k__Bacteria;	p__Bacteroidetes;	c__[Saprospirae];	o__[Saprospirales];	f__Chitinophagaceae;	g__Unassinged
k__Bacteria;	p__Proteobacteria;	c__Betaproteobacteria;	o__Burkholderiales;	f__Comamonadaceae;	g__Delftia;
k__Bacteria;	p__Rhodothermaeota	c__Rhodothermia	o__Rhodothermales	f__Rubricoccaceae	g__Unassinged
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhizobiales;	f__Beijerinckiaceae;	g__Qingshengfania;
k__Bacteria;	p__Proteobacteria;	c__Alphaproteobacteria;	o__Rhizobiales;	f__Beijerinckiaceae	g__Beijerinckia;
k__Bacteria;	p__Proteobacteria;	c__Betaproteobacteria;	o__Burkholderiales;	f__Comamonadaceae;	g__proteobacterium;
