Bioagents	Shoot_Length
MixA	1.8932
MixA	1.98987
MixA	1.9561
MixA	1.802312
MixB	1.5898789
MixB	1.523121
MixB	1.65821
MixB	1.611231
T3302	1.21213
T3302	1.28987
T3302	1.38987
T3302	1.321231
MR3	1.354546
MR3	1.2068
MR3	1.2978
MR3	1.2195
RR28	1.489878
RR28	1.412121
RR28	1.32412
RR28	1.398987
RL3	1.01212
RL3	1.08987
RL3	1.00897
RL3	1.04214
MR10	1.1997
MR10	1.1897
MR10	1.0021
MR10	1.08789
RR11	1.054897
RR11	1.115
RR11	1.08
RR11	1.1897
CK	0.8698
CK	0.874
CK	0.742314
CK	0.78987
