Taxonomy ID	X	Sulfur respiration	Sulfite respiration	Chemoheterotrophy	Thiosulfate respiration	Nitrate denitrification	Arsenate respiration	Arsenate reduction	Nitrite denitrification	Aerobic nitrite oxidation	Nitrous oxide denitrification	Nitrification	Denitrification	Knallgas bacteria	Hydrogen oxidation	Fermentation	Nitrate ammonification	Nitrite ammonification	Nitrite respiration	Cellulolysis	Xylanolysis	Aromatic compounddegradation	Sulfur oxidation	Thiosulfate oxidation	Manganese respiration	Aerobic chemoheterotrophy	Aromatic hydrocarbon degradation	Fumarate respiration	Hydrocarbon degradation	Iron respiration	Nitrate respiration	Sulfate respiration	Nitrate reduction	Nitrogen respiration	Sulfur compounds respiration	Chloroplasts	Ureolysis
 c__Betaproteobacteria	OTU_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 p__Acidobacteria	OTU_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 p__Firmicutes	OTU_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 p__Firmicutes	OTU_6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 c__Alphaproteobacteria	OTU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 p__Bacteroidetes	OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 c__Betaproteobacteria	OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
