Bioagents	Shoot_Length
MixA	34.738
MixA	30.871
MixA	32.541
MixA	33.25
MixB	27.522
MixB	26.23114
MixB	28.02
MixB	28.8987
T3302	22.8987
T3302	21.521412
T3302	21.897
T3302	22.12314
MR3	23.214
MR3	22.321
MR3	20.897
MR3	19.5647
RR28	24.56897
RR28	22.56544
RR28	23.5647
RR28	21.8987
RL3	17.568
RL3	16.8987
RL3	15.23564
RL3	14.568
MR10	14.234
MR10	13.5474
MR10	12.8987
MR10	11.54214
RR11	16.898
RR11	15.5657
RR11	14.8987
RR11	14.565
CK	8.987
CK	7.2314
CK	7.8987
CK	6.471
