Bioagents	Shoot_Length
MixA	751.2321
MixA	765.8987
MixA	735.898
MixA	770.8987
MixB	735.5658
MixB	700.5689
MixB	678.5689
MixB	668.5689
T3302	650.598
T3302	600.8987
T3302	625.8987
T3302	590.898
MR3	660.8987
MR3	630.245
MR3	580.5698
MR3	600.5689
RR28	670.898
RR28	664.75
RR28	645.356
RR28	623.025
RL3	550.5687
RL3	523.5689
RL3	510.234
RL3	500.5689
MR10	460.1536
MR10	450.235
MR10	425.568
MR10	410.2356
RR11	554.1729
RR11	545.895
RR11	535.2369
RR11	520.23564
CK	395.875
CK	375.68
CK	368.987
CK	356.232
